assetId,originalArchivePath,storedPath,category,layer,width,height,sha256
COMMERCIAL_REF_0001,IMG_12789.jpg,images/commercial_reference/IMG_12789.jpg,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,1500,2000,7f6169407871a0ad45f38a8ace98f4f79e531726ef5636de88fb92cbfc82f181
COMMERCIAL_REF_0002,IMG_12888.jpg,images/commercial_reference/IMG_12888.jpg,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,750,1000,669976d9052d752347a0b88caee7ea360f493584da54096976f84b42212eba63
COMMERCIAL_REF_0003,IMG_12889.jpg,images/commercial_reference/IMG_12889.jpg,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,750,1000,053343382ffea0851f712028d658419ad02c2ee165a51944cb6feb135d9a3566
COMMERCIAL_REF_0004,IMG_12890.jpg,images/commercial_reference/IMG_12890.jpg,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,3648,3648,3bcd9cad1bd652fe90af235eabfb154459e0bfa269393000c77764375e66a676
COMMERCIAL_REF_0005,IMG_12891.jpg,images/commercial_reference/IMG_12891.jpg,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,3648,4864,675855a4b5d40a6febdb1c9c3418b6ae04e94f7ed25afb15ce4250145380f1a8
COMMERCIAL_REF_0006,IMG_12892.jpg,images/commercial_reference/IMG_12892.jpg,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,3648,4864,5f02b01f12ebb221e2e8152fa33696b5d560e1c7c7ec93e9bea77056c3d28079
COMMERCIAL_REF_0007,IMG_12893.jpg,images/commercial_reference/IMG_12893.jpg,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,1440,1920,7f44b5f0c2c1af441aae64d19d639e9031796e71d1bbb1f8b75bd1d573435f41
COMMERCIAL_REF_0008,IMG_12894.jpg,images/commercial_reference/IMG_12894.jpg,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,796,1062,0eee3b657251a9848981728fa28fcd684be1df77522124689b978574bb49be4b
COMMERCIAL_REF_0009,IMG_12895.jpg,images/commercial_reference/IMG_12895.jpg,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,800,800,4d8726683d9b69da0e5a2cedda0b801a0264a6cce551c48ec9ad6c31da1aa0b1
COMMERCIAL_REF_0010,IMG_12896.jpg,images/commercial_reference/IMG_12896.jpg,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,800,800,ae070944570d943550c36fbd2cfcf55efc0b96ee2496a4f4b52c689d5e48cee7
COMMERCIAL_REF_0011,IMG_12897.jpg,images/commercial_reference/IMG_12897.jpg,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,800,800,003f7d7d457959b01ce388b5f912aad60695adf7bab09e545e8fd16a62e6a545
