assetId,originalArchivePath,storedPath,category,layer,width,height,sha256
OUTFIT_MASK_0001,art-delivery/outfit-003-release-candidate/outfit-003/masks/primary-boy-basic-white/accent-mask-front-left.png,images/stage_outfit_design/art-delivery/outfit-003-release-candidate/outfit-003/masks/primary-boy-basic-white/accent-mask-front-left.png,OUTFIT_MASK,Accent,1024,1536,219b735035f994c5047ae0d83fd780f01d1149ca8f721072b0cb6db3bae2629d
OUTFIT_MASK_0002,art-delivery/outfit-003-release-candidate/outfit-003/masks/primary-boy-basic-white/accent-mask-front-right.png,images/stage_outfit_design/art-delivery/outfit-003-release-candidate/outfit-003/masks/primary-boy-basic-white/accent-mask-front-right.png,OUTFIT_MASK,Accent,1024,1536,b39e2e8738f2c0f69ed2a4c4f4003249a5abfb67abe1d83ccf613c713ffc5978
OUTFIT_MASK_0003,art-delivery/outfit-003-release-candidate/outfit-003/masks/primary-boy-basic-white/accent-mask-front.png,images/stage_outfit_design/art-delivery/outfit-003-release-candidate/outfit-003/masks/primary-boy-basic-white/accent-mask-front.png,OUTFIT_MASK,Accent,1024,1536,1408d8627bed981748004bfb15b2b5f34ac3d70b2f4c8c143ddb7d55c7a7ad47
OUTFIT_MASK_0004,art-delivery/outfit-003-release-candidate/outfit-003/masks/primary-boy-basic-white/lower-mask-front-left.png,images/stage_outfit_design/art-delivery/outfit-003-release-candidate/outfit-003/masks/primary-boy-basic-white/lower-mask-front-left.png,OUTFIT_MASK,Lower,1024,1536,7ad1a32bef88d7b77dd5c11ca7829011d7220250a454856d8f0883191c6a00a5
OUTFIT_MASK_0005,art-delivery/outfit-003-release-candidate/outfit-003/masks/primary-boy-basic-white/lower-mask-front-right.png,images/stage_outfit_design/art-delivery/outfit-003-release-candidate/outfit-003/masks/primary-boy-basic-white/lower-mask-front-right.png,OUTFIT_MASK,Lower,1024,1536,bc875311d26f920ab84c1dc3cc7375061b96ca959da2c2e7df8944b06b7b56f9
OUTFIT_MASK_0006,art-delivery/outfit-003-release-candidate/outfit-003/masks/primary-boy-basic-white/lower-mask-front.png,images/stage_outfit_design/art-delivery/outfit-003-release-candidate/outfit-003/masks/primary-boy-basic-white/lower-mask-front.png,OUTFIT_MASK,Lower,1024,1536,6090a9207d5327fe5efc11df71a7ae8b65dc27eeefc5ae2e8a559af94dc7074d
OUTFIT_MASK_0007,art-delivery/outfit-003-release-candidate/outfit-003/masks/primary-girl-basic-white/accent-mask-front-left.png,images/stage_outfit_design/art-delivery/outfit-003-release-candidate/outfit-003/masks/primary-girl-basic-white/accent-mask-front-left.png,OUTFIT_MASK,Accent,1024,1536,ae3f161ed7dc204b6a57f2e5691f4c19f0d75f74174e6fcb454af7b611551696
OUTFIT_MASK_0008,art-delivery/outfit-003-release-candidate/outfit-003/masks/primary-girl-basic-white/accent-mask-front-right.png,images/stage_outfit_design/art-delivery/outfit-003-release-candidate/outfit-003/masks/primary-girl-basic-white/accent-mask-front-right.png,OUTFIT_MASK,Accent,1024,1536,31931eed9650b3e8d9eee3c75bc0b11f2929cbbeaf5b8a4070749b04bd302d02
OUTFIT_MASK_0009,art-delivery/outfit-003-release-candidate/outfit-003/masks/primary-girl-basic-white/accent-mask-front.png,images/stage_outfit_design/art-delivery/outfit-003-release-candidate/outfit-003/masks/primary-girl-basic-white/accent-mask-front.png,OUTFIT_MASK,Accent,1024,1536,4dee8a7cac8a3af0fbe72631818e98a77d44c3539945328de82f7ed4c81c6acf
OUTFIT_MASK_0010,art-delivery/outfit-003-release-candidate/outfit-003/masks/primary-girl-basic-white/lower-mask-front-left.png,images/stage_outfit_design/art-delivery/outfit-003-release-candidate/outfit-003/masks/primary-girl-basic-white/lower-mask-front-left.png,OUTFIT_MASK,Lower,1024,1536,722d241823c8e8578a222490a40cd3305741bf67d1dbab2df61671183e3b67f6
